asset,status,side,action,survival_score,derivatives_score,label_gate_score,venue_count,actionable_venue_count,funding_rate,oi_volume_ratio,net_directional_return_1h_proxy,positive_directional_1h_rate,evidence,missing_work,next_probe
BTC,crowded_context_without_unwind_label,watch_short_crowded_long,short_carry_reversion_watch,61.60871070,36.60871070,0.00000000,0,0,0.04300000,1.25768580,0.00000000,0.00000000,market=Antarctic ; symbol=BTC_USDT; status=paper_oi_funding_crowding_watch; basis=-0.01716409; funding=0.04300000; oi_volume=1.25768580; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BTC unwind labels before using crowded positioning as a signal
SOL,crowded_context_without_unwind_label,watch_long_crowded_short,long_carry_reversion_watch,60.50387484,35.50387484,0.00000000,0,0,-0.02297700,4.22402706,0.00000000,0.00000000,market=CoinUp.io (Futures); symbol=SOL-USDT; status=paper_oi_funding_crowding_watch; basis=0.02973536; funding=-0.02297700; oi_volume=4.22402706; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect SOL unwind labels before using crowded positioning as a signal
HYPE,crowded_context_without_unwind_label,watch_continuation_or_reversal,,60.32946122,35.32946122,0.00000000,0,0,10.95000000,0.86335766,0.00000000,0.00000000,market=Variational Omni; symbol=HYPE-PERP; status=paper_derivatives_momentum_risk_watch; basis=0.04567461; funding=10.95000000; oi_volume=0.86335766; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect HYPE unwind labels before using crowded positioning as a signal
UPAL,crowded_context_without_unwind_label,none,,59.27012540,34.27012540,0.00000000,0,0,-0.05000000,0.12010013,0.00000000,0.00000000,market=XT.COM (Derivatives); symbol=UPAL_USDT; status=derivatives_positioning_context; basis=0.35589827; funding=-0.05000000; oi_volume=0.12010013; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect UPAL unwind labels before using crowded positioning as a signal
KZECUSDT,crowded_context_without_unwind_label,none,,58.46531832,33.46531832,0.00000000,0,0,-0.08600000,0.89082817,0.00000000,0.00000000,market=KuCoin Futures; symbol=ZECUSDTM; status=derivatives_positioning_context; basis=0.23067529; funding=-0.08600000; oi_volume=0.89082817; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KZECUSDT unwind labels before using crowded positioning as a signal
WLD,crowded_context_without_unwind_label,none,,54.44415785,29.44415785,0.00000000,0,0,0.12060000,0.35610256,0.00000000,0.00000000,market=OrangeX Futures; symbol=WLD-USDT-PERPETUAL; status=derivatives_positioning_context; basis=0.14546966; funding=0.12060000; oi_volume=0.35610256; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect WLD unwind labels before using crowded positioning as a signal
MU,crowded_context_without_unwind_label,none,,54.32248121,29.32248121,0.00000000,0,0,0.04146400,0.11716342,0.00000000,0.00000000,market=Binance (Futures); symbol=MUUSDT; status=derivatives_positioning_context; basis=0.22916042; funding=0.04146400; oi_volume=0.11716342; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect MU unwind labels before using crowded positioning as a signal
CL,crowded_context_without_unwind_label,none,,54.16025750,29.16025750,0.00000000,0,0,-0.06031600,0.14892548,0.00000000,0.00000000,market=Binance (Futures); symbol=CLUSDT; status=derivatives_positioning_context; basis=0.30433739; funding=-0.06031600; oi_volume=0.14892548; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect CL unwind labels before using crowded positioning as a signal
BSB,crowded_context_without_unwind_label,none,,53.84710711,28.84710711,0.00000000,0,0,0.04100000,0.35044505,0.00000000,0.00000000,market=OrangeX Futures; symbol=BSB-USDT-PERPETUAL; status=derivatives_positioning_context; basis=-0.41641880; funding=0.04100000; oi_volume=0.35044505; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BSB unwind labels before using crowded positioning as a signal
BCH,crowded_context_without_unwind_label,none,,53.14313639,28.14313639,0.00000000,0,0,0.01000000,4.39084529,0.00000000,0.00000000,market=LBank (Futures); symbol=BCHUSDT; status=derivatives_positioning_context; basis=0.10476689; funding=0.01000000; oi_volume=4.39084529; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BCH unwind labels before using crowded positioning as a signal
KHYPEUSDT,crowded_context_without_unwind_label,watch_continuation_or_reversal,,52.07201352,27.07201352,0.00000000,0,0,0.01470000,1.79201058,0.00000000,0.00000000,market=KuCoin Futures; symbol=HYPEUSDTM; status=paper_derivatives_momentum_risk_watch; basis=-0.31798957; funding=0.01470000; oi_volume=1.79201058; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KHYPEUSDT unwind labels before using crowded positioning as a signal
AMD,crowded_context_without_unwind_label,none,,51.86959641,26.86959641,0.00000000,0,0,0.01004400,2.98737579,0.00000000,0.00000000,market=XT.COM (Derivatives); symbol=AMD_USDT; status=derivatives_positioning_context; basis=0.06128692; funding=0.01004400; oi_volume=2.98737579; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect AMD unwind labels before using crowded positioning as a signal
KXBTUSDT,crowded_context_without_unwind_label,none,,51.67316175,26.67316175,0.00000000,0,0,-0.00080000,2.79277500,0.00000000,0.00000000,market=KuCoin Futures; symbol=XBTUSDTM; status=derivatives_positioning_context; basis=0.19142572; funding=-0.00080000; oi_volume=2.79277500; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KXBTUSDT unwind labels before using crowded positioning as a signal
NEAR,crowded_context_without_unwind_label,watch_continuation_or_reversal,,50.15867937,25.15867937,0.00000000,0,0,0.01000000,1.98561627,0.00000000,0.00000000,market=XT.COM (Derivatives); symbol=NEAR_USDT; status=paper_derivatives_momentum_risk_watch; basis=0.11762184; funding=0.01000000; oi_volume=1.98561627; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect NEAR unwind labels before using crowded positioning as a signal
KSOLUSDT,crowded_context_without_unwind_label,none,,49.86081380,24.86081380,0.00000000,0,0,-0.00910000,2.16030177,0.00000000,0.00000000,market=KuCoin Futures; symbol=SOLUSDTM; status=derivatives_positioning_context; basis=0.00148401; funding=-0.00910000; oi_volume=2.16030177; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KSOLUSDT unwind labels before using crowded positioning as a signal
KXRPUSDT,crowded_context_without_unwind_label,none,,49.54702365,24.54702365,0.00000000,0,0,-0.00450000,3.60494775,0.00000000,0.00000000,market=KuCoin Futures; symbol=XRPUSDTM; status=derivatives_positioning_context; basis=0.08690392; funding=-0.00450000; oi_volume=3.60494775; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KXRPUSDT unwind labels before using crowded positioning as a signal
KSUIUSDT,crowded_context_without_unwind_label,none,,49.36783127,24.36783127,0.00000000,0,0,0.00450000,5.72772203,0.00000000,0.00000000,market=KuCoin Futures; symbol=SUIUSDTM; status=derivatives_positioning_context; basis=-0.31307070; funding=0.00450000; oi_volume=5.72772203; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KSUIUSDT unwind labels before using crowded positioning as a signal
DOGE,crowded_context_without_unwind_label,none,,49.35514666,24.35514666,0.00000000,0,0,0.00409300,3.49310309,0.00000000,0.00000000,market=LBank (Futures); symbol=DOGEUSDT; status=derivatives_positioning_context; basis=0.42735043; funding=0.00409300; oi_volume=3.49310309; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect DOGE unwind labels before using crowded positioning as a signal
LIT,crowded_context_without_unwind_label,watch_continuation_or_reversal,,49.16501951,24.16501951,0.00000000,0,0,0.00120000,4.11075308,0.00000000,0.00000000,market=Lighter; symbol=LIT_USDC; status=paper_derivatives_momentum_risk_watch; basis=0.16788274; funding=0.00120000; oi_volume=4.11075308; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect LIT unwind labels before using crowded positioning as a signal
KTONUSDT,crowded_context_without_unwind_label,none,,48.90261684,23.90261684,0.00000000,0,0,0.00500000,4.43746311,0.00000000,0.00000000,market=KuCoin Futures; symbol=TONUSDTM; status=derivatives_positioning_context; basis=0.23803994; funding=0.00500000; oi_volume=4.43746311; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KTONUSDT unwind labels before using crowded positioning as a signal
WLFI,crowded_context_without_unwind_label,none,,48.79560424,23.79560424,0.00000000,0,0,0.00500000,3.39963093,0.00000000,0.00000000,market=Binance (Futures); symbol=WLFIUSDT; status=derivatives_positioning_context; basis=-0.02213216; funding=0.00500000; oi_volume=3.39963093; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect WLFI unwind labels before using crowded positioning as a signal
XRP,crowded_context_without_unwind_label,none,,48.53679017,23.53679017,0.00000000,0,0,0.00372200,3.26568527,0.00000000,0.00000000,market=Aster (Futures); symbol=XRP-USDT; status=derivatives_positioning_context; basis=0.05008261; funding=0.00372200; oi_volume=3.26568527; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XRP unwind labels before using crowded positioning as a signal
TON,crowded_context_without_unwind_label,none,,48.23071087,23.23071087,0.00000000,0,0,0.00354000,5.79656751,0.00000000,0.00000000,market=LBank (Futures); symbol=TONUSDT; status=derivatives_positioning_context; basis=0.20782820; funding=0.00354000; oi_volume=5.79656751; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect TON unwind labels before using crowded positioning as a signal
BNB,crowded_context_without_unwind_label,none,,48.15430221,23.15430221,0.00000000,0,0,0.00848200,2.01320168,0.00000000,0.00000000,market=Bybit (Futures); symbol=BNBUSDT; status=derivatives_positioning_context; basis=0.53586287; funding=0.00848200; oi_volume=2.01320168; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BNB unwind labels before using crowded positioning as a signal
PAXG,crowded_context_without_unwind_label,none,,48.01080501,23.01080501,0.00000000,0,0,0.00373400,5.18599596,0.00000000,0.00000000,market=Hotcoin (Futures); symbol=PAXG_USDT; status=derivatives_positioning_context; basis=0.25975472; funding=0.00373400; oi_volume=5.18599596; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect PAXG unwind labels before using crowded positioning as a signal
XAUT,crowded_context_without_unwind_label,none,,47.85123208,22.85123208,0.00000000,0,0,-0.00376500,3.90628559,0.00000000,0.00000000,market=Bybit (Futures); symbol=XAUTUSDT; status=derivatives_positioning_context; basis=0.05448644; funding=-0.00376500; oi_volume=3.90628559; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XAUT unwind labels before using crowded positioning as a signal
XYZ:NVDA,crowded_context_without_unwind_label,none,,46.95684233,21.95684233,0.00000000,0,0,0.00196447,3.16547942,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:NVDA-USD; status=derivatives_positioning_context; basis=-0.08152304; funding=0.00196447; oi_volume=3.16547942; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:NVDA unwind labels before using crowded positioning as a signal
XYZ:BRENTOIL,crowded_context_without_unwind_label,none,,46.90513875,21.90513875,0.00000000,0,0,-0.01699624,1.20194680,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:BRENTOIL-USD; status=derivatives_positioning_context; basis=0.30135557; funding=-0.01699624; oi_volume=1.20194680; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:BRENTOIL unwind labels before using crowded positioning as a signal
XYZ:GOOGL,crowded_context_without_unwind_label,none,,46.74047149,21.74047149,0.00000000,0,0,0.00240033,4.76538621,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:GOOGL-USD; status=derivatives_positioning_context; basis=-0.04388130; funding=0.00240033; oi_volume=4.76538621; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:GOOGL unwind labels before using crowded positioning as a signal
KDOGEUSDT,crowded_context_without_unwind_label,none,,46.50976891,21.50976891,0.00000000,0,0,-0.00080000,4.27781296,0.00000000,0.00000000,market=KuCoin Futures; symbol=DOGEUSDTM; status=derivatives_positioning_context; basis=0.00000000; funding=-0.00080000; oi_volume=4.27781296; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KDOGEUSDT unwind labels before using crowded positioning as a signal
XYZ:SPCX,crowded_context_without_unwind_label,none,,45.57018869,20.57018869,0.00000000,0,0,0.00000252,2.25106745,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:SPCX-USD; status=derivatives_positioning_context; basis=-1.05325444; funding=0.00000252; oi_volume=2.25106745; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:SPCX unwind labels before using crowded positioning as a signal
MRVL,crowded_context_without_unwind_label,none,,45.53935476,20.53935476,0.00000000,0,0,0.02878200,0.17141545,0.00000000,0.00000000,market=Binance (Futures); symbol=MRVLUSDT; status=derivatives_positioning_context; basis=-0.17142854; funding=0.02878200; oi_volume=0.17141545; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect MRVL unwind labels before using crowded positioning as a signal
GOOGLX,crowded_context_without_unwind_label,none,,44.67622257,19.67622257,0.00000000,0,0,0.00000000,2.87981875,0.00000000,0.00000000,market=XT.COM (Derivatives); symbol=GOOGLX_USDT; status=derivatives_positioning_context; basis=0.16114318; funding=0.00000000; oi_volume=2.87981875; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect GOOGLX unwind labels before using crowded positioning as a signal
ALLO,crowded_context_without_unwind_label,none,,44.19758027,19.19758027,0.00000000,0,0,-0.01000000,0.39171005,0.00000000,0.00000000,market=OrangeX Futures; symbol=ALLO-USDT-PERPETUAL; status=derivatives_positioning_context; basis=-0.06644518; funding=-0.01000000; oi_volume=0.39171005; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect ALLO unwind labels before using crowded positioning as a signal
KETHUSDT,crowded_context_without_unwind_label,none,,44.05656130,19.05656130,0.00000000,0,0,-0.00200000,1.67726999,0.00000000,0.00000000,market=KuCoin Futures; symbol=ETHUSDTM; status=derivatives_positioning_context; basis=0.45017223; funding=-0.00200000; oi_volume=1.67726999; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect KETHUSDT unwind labels before using crowded positioning as a signal
LINK,crowded_context_without_unwind_label,none,,43.48336718,18.48336718,0.00000000,0,0,0.00520000,4.44007859,0.00000000,0.00000000,market=Gate (Futures); symbol=LINK_USDT; status=derivatives_positioning_context; basis=0.03102122; funding=0.00520000; oi_volume=4.44007859; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect LINK unwind labels before using crowded positioning as a signal
XYZ:CL,crowded_context_without_unwind_label,none,,39.66828011,14.66828011,0.00000000,0,0,-0.01495479,0.39926311,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:CL-USD; status=derivatives_positioning_context; basis=0.26700069; funding=-0.01495479; oi_volume=0.39926311; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:CL unwind labels before using crowded positioning as a signal
SUI,crowded_context_without_unwind_label,none,,39.19336174,14.19336174,0.00000000,0,0,0.00500000,4.18906615,0.00000000,0.00000000,market=Gate (Futures); symbol=SUI_USDT; status=derivatives_positioning_context; basis=0.08880763; funding=0.00500000; oi_volume=4.18906615; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect SUI unwind labels before using crowded positioning as a signal
ADA,crowded_context_without_unwind_label,watch_basis_funding_reversion,,38.96035778,13.96035778,0.00000000,0,0,0.01000000,0.67749703,0.00000000,0.00000000,market=Bybit (Futures); symbol=ADAUSDT; status=paper_basis_funding_dislocation_watch; basis=0.65593321; funding=0.01000000; oi_volume=0.67749703; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect ADA unwind labels before using crowded positioning as a signal
币安人生,crowded_context_without_unwind_label,watch_continuation_or_reversal,,38.60645442,13.60645442,0.00000000,0,0,0.00500000,0.78527553,0.00000000,0.00000000,market=Binance (Futures); symbol=币安人生USDT; status=paper_derivatives_momentum_risk_watch; basis=0.06129130; funding=0.00500000; oi_volume=0.78527553; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect 币安人生 unwind labels before using crowded positioning as a signal
XYZ:SKHX,crowded_context_without_unwind_label,none,,38.45029821,13.45029821,0.00000000,0,0,-0.00811630,0.60674543,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:SKHX-USD; status=derivatives_positioning_context; basis=-1.01662214; funding=-0.00811630; oi_volume=0.60674543; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:SKHX unwind labels before using crowded positioning as a signal
XYZ:GOLD,crowded_context_without_unwind_label,none,,38.26446661,13.26446661,0.00000000,0,0,0.00062500,1.56745435,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:GOLD-USD; status=derivatives_positioning_context; basis=-0.02999054; funding=0.00062500; oi_volume=1.56745435; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:GOLD unwind labels before using crowded positioning as a signal
BZ,crowded_context_without_unwind_label,none,,37.96171322,12.96171322,0.00000000,0,0,-0.01530000,0.34978870,0.00000000,0.00000000,market=OrangeX Futures; symbol=BZ-USDT-PERPETUAL; status=derivatives_positioning_context; basis=0.19104224; funding=-0.01530000; oi_volume=0.34978870; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BZ unwind labels before using crowded positioning as a signal
LTC,crowded_context_without_unwind_label,none,,37.90735050,12.90735050,0.00000000,0,0,-0.00068500,1.42682395,0.00000000,0.00000000,market=Bybit (Futures); symbol=LTCUSDT; status=derivatives_positioning_context; basis=0.09231479; funding=-0.00068500; oi_volume=1.42682395; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect LTC unwind labels before using crowded positioning as a signal
XAU,crowded_context_without_unwind_label,none,,35.44483401,10.44483401,0.00000000,0,0,0.00500000,0.84062277,0.00000000,0.00000000,market=Gate (Futures); symbol=XAU_USDT; status=derivatives_positioning_context; basis=0.01014458; funding=0.00500000; oi_volume=0.84062277; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XAU unwind labels before using crowded positioning as a signal
SPCX,crowded_context_without_unwind_label,none,,34.67708467,9.67708467,0.00000000,0,0,0.00500000,0.71069173,0.00000000,0.00000000,market=Binance (Futures); symbol=SPCXUSDT; status=derivatives_positioning_context; basis=0.22791106; funding=0.00500000; oi_volume=0.71069173; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect SPCX unwind labels before using crowded positioning as a signal
XAG,crowded_context_without_unwind_label,none,,34.43241699,9.43241699,0.00000000,0,0,0.01200000,0.14759583,0.00000000,0.00000000,market=CoinW (Futures); symbol=XAG/USDT; status=derivatives_positioning_context; basis=0.00000000; funding=0.01200000; oi_volume=0.14759583; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XAG unwind labels before using crowded positioning as a signal
XYZ:SP500,crowded_context_without_unwind_label,none,,33.77880045,8.77880045,0.00000000,0,0,0.00062500,0.70027286,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:SP500-USD; status=derivatives_positioning_context; basis=0.16776947; funding=0.00062500; oi_volume=0.70027286; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:SP500 unwind labels before using crowded positioning as a signal
BXBT,crowded_context_without_unwind_label,none,,33.53083113,8.53083113,0.00000000,0,0,-0.00430000,0.52503611,0.00000000,0.00000000,market=BitMEX (Derivative); symbol=XBTUSD; status=derivatives_positioning_context; basis=0.06568106; funding=-0.00430000; oi_volume=0.52503611; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect BXBT unwind labels before using crowded positioning as a signal
XYZ:XYZ100,crowded_context_without_unwind_label,none,,33.48996928,8.48996928,0.00000000,0,0,0.00087482,0.62439851,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:XYZ100-USD; status=derivatives_positioning_context; basis=-0.07082153; funding=0.00087482; oi_volume=0.62439851; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:XYZ100 unwind labels before using crowded positioning as a signal
XLM,crowded_context_without_unwind_label,none,,33.29162890,8.29162890,0.00000000,0,0,-0.00772000,0.38517969,0.00000000,0.00000000,market=Binance (Futures); symbol=XLMUSDT; status=derivatives_positioning_context; basis=-0.00854777; funding=-0.00772000; oi_volume=0.38517969; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XLM unwind labels before using crowded positioning as a signal
SILVER,crowded_context_without_unwind_label,none,,33.13609531,8.13609531,0.00000000,0,0,0.00740000,0.33506506,0.00000000,0.00000000,market=MEXC (Futures); symbol=SILVER_USDT; status=derivatives_positioning_context; basis=-0.02920561; funding=0.00740000; oi_volume=0.33506506; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect SILVER unwind labels before using crowded positioning as a signal
AVAX,crowded_context_without_unwind_label,none,,33.12636368,8.12636368,0.00000000,0,0,-0.00580800,0.46927131,0.00000000,0.00000000,market=Binance (Futures); symbol=AVAXUSDT; status=derivatives_positioning_context; basis=-0.00925487; funding=-0.00580800; oi_volume=0.46927131; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect AVAX unwind labels before using crowded positioning as a signal
XYZ:MRVL,crowded_context_without_unwind_label,none,,33.10716541,8.10716541,0.00000000,0,0,0.00062500,0.83714976,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:MRVL-USD; status=derivatives_positioning_context; basis=-0.02341450; funding=0.00062500; oi_volume=0.83714976; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:MRVL unwind labels before using crowded positioning as a signal
XYZ:MU,crowded_context_without_unwind_label,none,,32.44313478,7.44313478,0.00000000,0,0,0.00062500,0.62152186,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:MU-USD; status=derivatives_positioning_context; basis=0.02849213; funding=0.00062500; oi_volume=0.62152186; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:MU unwind labels before using crowded positioning as a signal
XYZ:SILVER,crowded_context_without_unwind_label,none,,30.83942022,5.83942022,0.00000000,0,0,0.00164300,0.54044477,0.00000000,0.00000000,market=Hyperliquid (Futures); symbol=XYZ:SILVER-USD; status=derivatives_positioning_context; basis=-0.03065828; funding=0.00164300; oi_volume=0.54044477; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect XYZ:SILVER unwind labels before using crowded positioning as a signal
SNDK,crowded_context_without_unwind_label,none,,30.46250839,5.46250839,0.00000000,0,0,0.00000000,0.36621218,0.00000000,0.00000000,market=Aivora Exchange (Futures); symbol=E-SNDK-USDT; status=derivatives_positioning_context; basis=0.05620127; funding=0.00000000; oi_volume=0.36621218; label_status=missing_label_gate,crowding context is visible but not connected to return-supported unwind labels,collect SNDK unwind labels before using crowded positioning as a signal
