candidate_id,status,currency,expiry,structure,survival_score,actionability_score,atm_iv,realized_vol_24h,iv_premium_24h,quote_spread_pct,max_loss_pct,premium_to_realized_move,top_ask_premium_depth_usd,evidence,missing_work,next_probe,research_reference
btc_2026-07-31_long_atm_straddle,premium_size_blocks_survival,BTC,2026-07-31,long_atm_straddle,44.76363920,32.75454000,42.00000000,85.77270000,-43.77270000,0.01174200,12.85000000,0.39500800,317941.73000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote BTC 2026-07-31 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-07-31_long_atm_straddle,premium_size_blocks_survival,ETH,2026-07-31,long_atm_straddle,27.63955480,34.00000000,56.18000000,112.31500000,-56.13500000,0.01464100,17.20000000,0.40377800,34821.12000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote ETH 2026-07-31 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
btc_2026-08-28_long_atm_straddle,premium_size_blocks_survival,BTC,2026-08-28,long_atm_straddle,20.11028120,32.75054000,42.02000000,85.77270000,-43.75270000,0.01584800,15.90000000,0.39471800,23328.03000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote BTC 2026-08-28 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
btc_2026-09-25_long_atm_straddle,premium_size_blocks_survival,BTC,2026-09-25,long_atm_straddle,14.26219020,32.70054000,42.27000000,85.77270000,-43.50270000,0.01634900,18.50000000,0.39559100,146768.63000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote BTC 2026-09-25 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-08-28_long_atm_straddle,premium_size_blocks_survival,ETH,2026-08-28,long_atm_straddle,10.56686540,34.00000000,56.42000000,112.31500000,-55.89500000,0.01418400,21.30000000,0.40381300,21606.51000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote ETH 2026-08-28 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-09-25_long_atm_straddle,premium_size_blocks_survival,ETH,2026-09-25,long_atm_straddle,-3.01868480,34.00000000,56.68000000,112.31500000,-55.63500000,0.01219500,24.75000000,0.40416800,25172.38000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote ETH 2026-09-25 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
btc_2026-12-25_long_atm_straddle,premium_size_blocks_survival,BTC,2026-12-25,long_atm_straddle,-15.53735880,32.33854000,44.08000000,85.77270000,-41.69270000,0.01347400,26.15000000,0.41237600,219741.78000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote BTC 2026-12-25 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
btc_2027-03-26_long_atm_straddle,premium_size_blocks_survival,BTC,2027-03-26,long_atm_straddle,-29.26499500,32.16854000,44.93000000,85.77270000,-40.84270000,0.01736400,31.95000000,0.41753500,524038.98000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote BTC 2027-03-26 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
eth_2026-12-25_long_atm_straddle,premium_size_blocks_survival,ETH,2026-12-25,long_atm_straddle,-44.06205360,34.00000000,58.80000000,112.31500000,-53.51500000,0.01312900,34.50000000,0.41548200,35423.91000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote ETH 2026-12-25 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
eth_2027-03-26_long_atm_straddle,premium_size_blocks_survival,ETH,2027-03-26,long_atm_straddle,-76.08739580,34.00000000,60.19000000,112.31500000,-52.12500000,0.01307200,42.35000000,0.42265500,57113.73000000,"actionability=volatility_premium_or_depth_blocked; source=paper_long_vol_quote_blocked; quote=premium_too_large; ticket_status=paper_long_vol_quote_blocked; reason=cheap IV is blocked by premium size, quote quality, depth, or structure constraints",premium size is too large for the current structure,"do not promote ETH 2027-03-26 long_atm_straddle; wait for better quote, depth, premium size, or structure",https://doi.org/10.1007/s00500-025-10980-7
