candidate_id,wallet_label,source_coin,execution_asset,action,status,side,score,fills,net_buy_notional,net_closed_pnl_after_fees,current_position,current_position_notional,mark_price,reason,next_step
public_hypertracker_example_sei_wallet_flow_actionability,public_hypertracker_example,SEI,SEI,watch_recent_wallet_sell_flow,wallet_flow_watch,paper_short_wallet_flow,40.79409178,5,-11.04138000,10.66100800,0.00000000,0.00000000,0.050314000000,seed wallet has positive realized PnL but the tradable flow is still small,keep SEI as wallet-flow context until position/flow size or repeat labels improve
public_hypertracker_example_btc_wallet_flow_actionability,public_hypertracker_example,BTC,BTC,reject_negative_wallet_pnl,wallet_flow_reject_negative_seed_pnl,paper_long_wallet_flow,22.17281676,45,7922.81676000,-265.64316600,0.12000000,7688.64000000,64034.000000000000,seed wallet row has negative realized PnL after fees,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_xyz_gold_wallet_flow_actionability,public_hypertracker_example,xyz:GOLD,,watch_recent_wallet_sell_flow,wallet_flow_blocked_untradable_asset,paper_short_wallet_flow,19.42976208,10,-140.76098000,135.78002200,0.00000000,0.00000000,,source coin does not map to a current Hyperliquid tradable asset,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_xyz_mstr_wallet_flow_actionability,public_hypertracker_example,xyz:MSTR,,watch_recent_wallet_buy_flow,wallet_flow_blocked_untradable_asset,paper_long_wallet_flow,13.51504017,8,993.82697000,2.42426400,0.00000000,0.00000000,,source coin does not map to a current Hyperliquid tradable asset,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_xyz_natgas_wallet_flow_actionability,public_hypertracker_example,xyz:NATGAS,,watch_recent_wallet_sell_flow,wallet_flow_blocked_untradable_asset,paper_short_wallet_flow,13.25318770,9,-16.08965000,15.74196100,0.00000000,0.00000000,,source coin does not map to a current Hyperliquid tradable asset,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_150_wallet_flow_actionability,public_hypertracker_example,@150,,reject_negative_wallet_pnl,wallet_flow_blocked_untradable_asset,paper_short_wallet_flow,13.12328432,9,-673.28432347,-2.67696596,0.00000000,0.00000000,,source coin does not map to a current Hyperliquid tradable asset,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_xyz_silver_wallet_flow_actionability,public_hypertracker_example,xyz:SILVER,,watch_recent_wallet_sell_flow,wallet_flow_blocked_untradable_asset,paper_short_wallet_flow,13.05988208,4,-17.03098000,16.85702200,0.00000000,0.00000000,,source coin does not map to a current Hyperliquid tradable asset,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_live_bot_example_btc_wallet_flow_actionability,public_live_bot_example,BTC,BTC,reject_negative_wallet_pnl,wallet_flow_reject_negative_seed_pnl,paper_long_wallet_flow,10.18613198,241,77.22148000,-28.99378500,0.00085000,54.45525000,64034.000000000000,seed wallet row has negative realized PnL after fees,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_live_bot_example_eth_wallet_flow_actionability,public_live_bot_example,ETH,ETH,reject_negative_wallet_pnl,wallet_flow_reject_negative_seed_pnl,paper_long_wallet_flow,10.07984961,207,28.91861000,-6.31374400,0.01500000,25.46550000,1697.300000000000,seed wallet row has negative realized PnL after fees,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_aster_wallet_flow_actionability,public_hypertracker_example,ASTER,ASTER,reject_negative_wallet_pnl,wallet_flow_reject_negative_seed_pnl,observe_wallet_flow,2.10905905,27,759.05905000,-761.07870800,0.00000000,0.00000000,0.637750000000,seed wallet row has negative realized PnL after fees,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
public_hypertracker_example_sol_wallet_flow_actionability,public_hypertracker_example,SOL,SOL,reject_negative_wallet_pnl,wallet_flow_reject_negative_seed_pnl,observe_wallet_flow,0.10136824,2,1.36824000,-3.12487400,0.00000000,0.00000000,67.495000000000,seed wallet row has negative realized PnL after fees,do not promote this seed-wallet row; keep only as source-quality or negative-control evidence
