asset,action,label_status,trade_direction,candidate_size_usd,label_bps_15m,spread_bps,depth_10bps_notional,visible_depth_usage,conservative_cost_bps,conservative_net_bps,gate_action,reason,next_step
BNB,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,500.00,37.11830000,1.68053105,388416.31000000,0.00128728,11.69340383,25.42489617,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BNB 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BNB,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,1000.00,37.11830000,1.68053105,388416.31000000,0.00257456,11.70627662,25.41202338,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BNB 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ADA,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,100.00,36.10110000,6.00420294,78662.57600000,0.00127125,16.01691547,20.08418453,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ADA 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ADA,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,250.00,36.10110000,6.00420294,78662.57600000,0.00317813,16.03598426,20.06511574,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ADA 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ADA,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,500.00,36.10110000,6.00420294,78662.57600000,0.00635626,16.06776557,20.03333443,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ADA 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
ADA,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,1000.00,36.10110000,6.00420294,78662.57600000,0.01271253,16.13132820,19.96977180,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for ADA 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
PEPE,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,100.00,25.41760000,3.62910543,177328.89000000,0.00056392,13.63474466,11.78285534,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for PEPE 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
PEPE,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,250.00,25.41760000,3.62910543,177328.89000000,0.00140981,13.64320352,11.77439648,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for PEPE 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
PEPE,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,500.00,25.41760000,3.62910543,177328.89000000,0.00281962,13.65730162,11.76029838,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for PEPE 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
PEPE,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,1000.00,25.41760000,3.62910543,177328.89000000,0.00563924,13.68549782,11.73210218,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for PEPE 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BCH,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,100.00,24.47380000,4.90316254,58091.99600000,0.00172141,14.92037662,9.55342338,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BCH 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BCH,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,250.00,24.47380000,4.90316254,58091.99600000,0.00430352,14.94619773,9.52760227,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BCH 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BCH,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,500.00,24.47380000,4.90316254,58091.99600000,0.00860704,14.98923292,9.48456708,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BCH 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
BCH,long_liquidation_cascade_watch,reversal_15m_supported_pending_1h,long,1000.00,24.47380000,4.90316254,58091.99600000,0.01721408,15.07530329,9.39849671,small_paper_probe_pending_1h,15m label survives rough gate but 1h is not mature,"wait for BCH 1h label, then paper-check with fill, funding, stop, and repeat-event logs"
