ticket_id,asset,opportunity,decision,execution_mode,action,score,directional_return_bps,current_net_bps,estimated_mode_net_bps,spread_bps,visible_depth_usage,suggested_size_usd,source_file,reason,next_step
lane-hype-hype-protocol-fee-growth,HYPE,hype_protocol_fee_growth,paper_short,taker_small,repeat_taker_probe,29.98786909,20.61520980,11.92634811,11.92634811,0.81386169,0.00221894,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat HYPE with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-hype-hype-protocol-fee-actionability,HYPE,hype_protocol_fee_actionability,paper_short,taker_small,repeat_taker_probe,29.98786909,20.61520980,11.92634811,11.92634811,0.81386169,0.00221894,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat HYPE with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-hype-hype-unlock-actionability,HYPE,hype_unlock_actionability,paper_short,taker_small,repeat_taker_probe,29.98786909,20.61520980,11.92634811,11.92634811,0.81386169,0.00221894,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat HYPE with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-eth-eth-volume-price-dislocation,ETH,eth_volume_price_dislocation,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,29.46755253,16.20453727,7.54747333,13.84709880,0.59925094,0.00001926,250,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat ETH with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-eth-eth-microstructure-flow-probe,ETH,eth_microstructure_flow_probe,paper_long,maker_or_low_fee_small,compare_taker_vs_low_fee,29.46755253,16.20453727,7.54747333,13.84709880,0.59925094,0.00000770,100,current_symbol_lane_paper_fill_risk_check.csv,low-fee or maker-like execution may improve the already surviving paper edge,"paper-repeat ETH with maker_or_low_fee_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-eth-eth-volume-price-dislocation,ETH,eth_volume_price_dislocation,paper_long,taker_small,repeat_taker_probe,25.16792706,16.20453727,7.54747333,7.54747333,0.59925094,0.00001926,250,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat ETH with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
lane-eth-eth-microstructure-flow-probe,ETH,eth_microstructure_flow_probe,paper_long,taker_small,repeat_taker_probe,25.16792706,16.20453727,7.54747333,7.54747333,0.59925094,0.00000770,100,current_symbol_lane_paper_fill_risk_check.csv,"paper edge survives rough taker spread, fee, funding, and depth checks","paper-repeat ETH with taker_small, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-eth-eth-volume-price-dislocation,ETH,eth_volume_price_dislocation,paper_long,low_fee_rescue_check,only_retest_if_low_fee_net_positive,10.89762808,6.59551505,-2.06154889,4.23807658,0.59925094,0.00001926,250,current_symbol_lane_promoted_repeat_fill_risk_check.csv,taker execution fails; only a lower-fee or maker-like path could rescue it,"paper-repeat ETH with low_fee_rescue_check, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-lane-eth-eth-microstructure-flow-probe,ETH,eth_microstructure_flow_probe,paper_long,low_fee_rescue_check,only_retest_if_low_fee_net_positive,10.89762808,6.59551505,-2.06154889,4.23807658,0.59925094,0.00000770,100,current_symbol_lane_promoted_repeat_fill_risk_check.csv,taker execution fails; only a lower-fee or maker-like path could rescue it,"paper-repeat ETH with low_fee_rescue_check, explicit fill assumption, funding, stop, and adverse-selection notes"
paper-50-hype-token-unlock,HYPE,hype_unlock_actionability,paper_short,low_fee_rescue_check,only_retest_if_low_fee_net_positive,9.61945264,5.36489408,-3.32396761,3.08296324,0.81386169,0.00000000,,current_paper_ticket_fill_risk_check.csv,taker execution fails; only a lower-fee or maker-like path could rescue it,"paper-repeat HYPE with low_fee_rescue_check, explicit fill assumption, funding, stop, and adverse-selection notes"
repeat-repeat-paper-09-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,low_fee_rescue_check,only_retest_if_low_fee_net_positive,9.61917447,4.98376501,-2.95470507,3.12079797,0.15100608,0.00063860,250,current_second_promoted_ticket_repeat_fill_risk_check.csv,taker execution fails; only a lower-fee or maker-like path could rescue it,"paper-repeat SOL with low_fee_rescue_check, explicit fill assumption, funding, stop, and adverse-selection notes"
