asset,action,direction,candidate_size_usd,gross_15m_bps,gross_1h_bps,spread_bps,depth_10bps_usd,visible_depth_usage,taker_fee_bps_per_fill,conservative_cost_bps,conservative_net_15m_bps,conservative_net_1h_bps,gate_action,reason,next_step
BNB,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,0.66235035,107947.10077000,0.00463190,5.00000000,10.70866933,-10.70866933,-10.70866933,wait_for_1h_label,1h label is not mature yet,collect a fresh BNB microstructure snapshot before any paper probe
BNB,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,0.66235035,107947.10077000,0.00926380,5.00000000,10.75498832,-10.75498832,-10.75498832,wait_for_1h_label,1h label is not mature yet,collect a fresh BNB microstructure snapshot before any paper probe
NEAR,aligned_pressure_watch,-1,500.00,0.00000000,0.00000000,0.45881030,14082.72641500,0.03550449,5.00000000,10.81385519,-10.81385519,-10.81385519,wait_for_1h_label,1h label is not mature yet,collect a fresh NEAR microstructure snapshot before any paper probe
NEAR,aligned_pressure_watch,-1,1000.00,0.00000000,0.00000000,0.45881030,14082.72641500,0.07100898,5.00000000,11.16890007,-11.16890007,-11.16890007,wait_for_1h_label,1h label is not mature yet,collect a fresh NEAR microstructure snapshot before any paper probe
SUI,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,1.43459861,74493.29001550,0.00134240,5.00000000,11.44802264,-11.44802264,-11.44802264,wait_for_1h_label,1h label is not mature yet,collect a fresh SUI microstructure snapshot before any paper probe
SUI,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,1.43459861,74493.29001550,0.00335601,5.00000000,11.46815868,-11.46815868,-11.46815868,wait_for_1h_label,1h label is not mature yet,collect a fresh SUI microstructure snapshot before any paper probe
SUI,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,1.43459861,74493.29001550,0.00671201,5.00000000,11.50171875,-11.50171875,-11.50171875,wait_for_1h_label,1h label is not mature yet,collect a fresh SUI microstructure snapshot before any paper probe
SUI,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,1.43459861,74493.29001550,0.01342403,5.00000000,11.56883889,-11.56883889,-11.56883889,wait_for_1h_label,1h label is not mature yet,collect a fresh SUI microstructure snapshot before any paper probe
APT,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,1.47264561,9945.42741450,0.01005487,5.00000000,11.57319433,-11.57319433,-11.57319433,wait_for_1h_label,1h label is not mature yet,collect a fresh APT microstructure snapshot before any paper probe
APT,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,1.47264561,9945.42741450,0.02513718,5.00000000,11.72401741,-11.72401741,-11.72401741,wait_for_1h_label,1h label is not mature yet,collect a fresh APT microstructure snapshot before any paper probe
APT,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,1.47264561,9945.42741450,0.05027436,5.00000000,11.97538921,-11.97538921,-11.97538921,wait_for_1h_label,1h label is not mature yet,collect a fresh APT microstructure snapshot before any paper probe
APT,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,1.47264561,9945.42741450,0.10054872,5.00000000,12.47813281,-12.47813281,-12.47813281,wait_for_1h_label,1h label is not mature yet,collect a fresh APT microstructure snapshot before any paper probe
SEI,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,3.38298359,11752.21780200,0.00850903,5.00000000,13.46807391,-13.46807391,-13.46807391,wait_for_1h_label,1h label is not mature yet,collect a fresh SEI microstructure snapshot before any paper probe
SEI,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,3.38298359,11752.21780200,0.02127258,5.00000000,13.59570940,-13.59570940,-13.59570940,wait_for_1h_label,1h label is not mature yet,collect a fresh SEI microstructure snapshot before any paper probe
ARB,aligned_pressure_watch,1,100.00,0.00000000,0.00000000,3.56951633,7434.86443050,0.01345014,5.00000000,13.70401777,-13.70401777,-13.70401777,wait_for_1h_label,1h label is not mature yet,collect a fresh ARB microstructure snapshot before any paper probe
MEGA,book_trade_divergence_watch,1,100.00,0.00000000,0.00000000,3.55499378,4542.38769600,0.02201485,5.00000000,13.77514232,-13.77514232,-13.77514232,wait_for_1h_label,1h label is not mature yet,collect a fresh MEGA microstructure snapshot before any paper probe
SEI,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,3.38298359,11752.21780200,0.04254516,5.00000000,13.80843520,-13.80843520,-13.80843520,wait_for_1h_label,1h label is not mature yet,collect a fresh SEI microstructure snapshot before any paper probe
ARB,aligned_pressure_watch,1,250.00,0.00000000,0.00000000,3.56951633,7434.86443050,0.03362536,5.00000000,13.90576994,-13.90576994,-13.90576994,wait_for_1h_label,1h label is not mature yet,collect a fresh ARB microstructure snapshot before any paper probe
CHIP,aligned_pressure_watch,1,100.00,0.00000000,0.00000000,3.69310313,4125.70119600,0.02423830,5.00000000,13.93548617,-13.93548617,-13.93548617,wait_for_1h_label,1h label is not mature yet,collect a fresh CHIP microstructure snapshot before any paper probe
MEGA,book_trade_divergence_watch,1,250.00,0.00000000,0.00000000,3.55499378,4542.38769600,0.05503713,5.00000000,14.10536512,-14.10536512,-14.10536512,wait_for_1h_label,1h label is not mature yet,collect a fresh MEGA microstructure snapshot before any paper probe
SEI,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,3.38298359,11752.21780200,0.08509032,5.00000000,14.23388681,-14.23388681,-14.23388681,wait_for_1h_label,1h label is not mature yet,collect a fresh SEI microstructure snapshot before any paper probe
ARB,aligned_pressure_watch,1,500.00,0.00000000,0.00000000,3.56951633,7434.86443050,0.06725072,5.00000000,14.24202355,-14.24202355,-14.24202355,wait_for_1h_label,1h label is not mature yet,collect a fresh ARB microstructure snapshot before any paper probe
CHIP,aligned_pressure_watch,1,250.00,0.00000000,0.00000000,3.69310313,4125.70119600,0.06059576,5.00000000,14.29906073,-14.29906073,-14.29906073,wait_for_1h_label,1h label is not mature yet,collect a fresh CHIP microstructure snapshot before any paper probe
STX,aligned_pressure_watch,-1,100.00,0.00000000,0.00000000,4.21185638,3649.84905200,0.02739839,5.00000000,14.48584031,-14.48584031,-14.48584031,wait_for_1h_label,1h label is not mature yet,collect a fresh STX microstructure snapshot before any paper probe
MEGA,book_trade_divergence_watch,1,500.00,0.00000000,0.00000000,3.55499378,4542.38769600,0.11007427,5.00000000,14.65573646,-14.65573646,-14.65573646,wait_for_1h_label,1h label is not mature yet,collect a fresh MEGA microstructure snapshot before any paper probe
MON,book_trade_divergence_watch,-1,100.00,0.00000000,0.00000000,4.48309872,3331.64646600,0.03001519,5.00000000,14.78325061,-14.78325061,-14.78325061,wait_for_1h_label,1h label is not mature yet,collect a fresh MON microstructure snapshot before any paper probe
POL,aligned_pressure_watch,1,100.00,0.00000000,0.00000000,4.57549882,4244.63009500,0.02355918,5.00000000,14.81109061,-14.81109061,-14.81109061,wait_for_1h_label,1h label is not mature yet,collect a fresh POL microstructure snapshot before any paper probe
STX,aligned_pressure_watch,-1,250.00,0.00000000,0.00000000,4.21185638,3649.84905200,0.06849598,5.00000000,14.89681621,-14.89681621,-14.89681621,wait_for_1h_label,1h label is not mature yet,collect a fresh STX microstructure snapshot before any paper probe
CHIP,aligned_pressure_watch,1,500.00,0.00000000,0.00000000,3.69310313,4125.70119600,0.12119152,5.00000000,14.90501833,-14.90501833,-14.90501833,wait_for_1h_label,1h label is not mature yet,collect a fresh CHIP microstructure snapshot before any paper probe
ARB,aligned_pressure_watch,1,1000.00,0.00000000,0.00000000,3.56951633,7434.86443050,0.13450144,5.00000000,14.91453077,-14.91453077,-14.91453077,wait_for_1h_label,1h label is not mature yet,collect a fresh ARB microstructure snapshot before any paper probe
POL,aligned_pressure_watch,1,250.00,0.00000000,0.00000000,4.57549882,4244.63009500,0.05889795,5.00000000,15.16447829,-15.16447829,-15.16447829,wait_for_1h_label,1h label is not mature yet,collect a fresh POL microstructure snapshot before any paper probe
MON,book_trade_divergence_watch,-1,250.00,0.00000000,0.00000000,4.48309872,3331.64646600,0.07503797,5.00000000,15.23347846,-15.23347846,-15.23347846,wait_for_1h_label,1h label is not mature yet,collect a fresh MON microstructure snapshot before any paper probe
XMR,aligned_pressure_watch,-1,100.00,0.00000000,0.00000000,5.35508970,6807.18756500,0.01469035,5.00000000,15.50199325,-15.50199325,-15.50199325,wait_for_1h_label,1h label is not mature yet,collect a fresh XMR microstructure snapshot before any paper probe
STX,aligned_pressure_watch,-1,500.00,0.00000000,0.00000000,4.21185638,3649.84905200,0.13699197,5.00000000,15.58177605,-15.58177605,-15.58177605,wait_for_1h_label,1h label is not mature yet,collect a fresh STX microstructure snapshot before any paper probe
XMR,aligned_pressure_watch,-1,250.00,0.00000000,0.00000000,5.35508970,6807.18756500,0.03672589,5.00000000,15.72234857,-15.72234857,-15.72234857,wait_for_1h_label,1h label is not mature yet,collect a fresh XMR microstructure snapshot before any paper probe
POL,aligned_pressure_watch,1,500.00,0.00000000,0.00000000,4.57549882,4244.63009500,0.11779589,5.00000000,15.75345777,-15.75345777,-15.75345777,wait_for_1h_label,1h label is not mature yet,collect a fresh POL microstructure snapshot before any paper probe
MEGA,book_trade_divergence_watch,1,1000.00,0.00000000,0.00000000,3.55499378,4542.38769600,0.22014854,5.00000000,15.75647914,-15.75647914,-15.75647914,wait_for_1h_label,1h label is not mature yet,collect a fresh MEGA microstructure snapshot before any paper probe
STRK,book_trade_divergence_watch,1,100.00,0.00000000,0.00000000,5.69638280,9785.40628100,0.01021930,5.00000000,15.79857580,-15.79857580,-15.79857580,wait_for_1h_label,1h label is not mature yet,collect a fresh STRK microstructure snapshot before any paper probe
STRK,book_trade_divergence_watch,1,250.00,0.00000000,0.00000000,5.69638280,9785.40628100,0.02554825,5.00000000,15.95186529,-15.95186529,-15.95186529,wait_for_1h_label,1h label is not mature yet,collect a fresh STRK microstructure snapshot before any paper probe
MON,book_trade_divergence_watch,-1,500.00,0.00000000,0.00000000,4.48309872,3331.64646600,0.15007595,5.00000000,15.98385819,-15.98385819,-15.98385819,wait_for_1h_label,1h label is not mature yet,collect a fresh MON microstructure snapshot before any paper probe
XMR,aligned_pressure_watch,-1,500.00,0.00000000,0.00000000,5.35508970,6807.18756500,0.07345177,5.00000000,16.08960744,-16.08960744,-16.08960744,wait_for_1h_label,1h label is not mature yet,collect a fresh XMR microstructure snapshot before any paper probe
CHIP,aligned_pressure_watch,1,1000.00,0.00000000,0.00000000,3.69310313,4125.70119600,0.24238304,5.00000000,16.11693353,-16.11693353,-16.11693353,wait_for_1h_label,1h label is not mature yet,collect a fresh CHIP microstructure snapshot before any paper probe
STRK,book_trade_divergence_watch,1,500.00,0.00000000,0.00000000,5.69638280,9785.40628100,0.05109650,5.00000000,16.20734779,-16.20734779,-16.20734779,wait_for_1h_label,1h label is not mature yet,collect a fresh STRK microstructure snapshot before any paper probe
STRK,book_trade_divergence_watch,1,1000.00,0.00000000,0.00000000,5.69638280,9785.40628100,0.10219300,5.00000000,16.71831278,-16.71831278,-16.71831278,wait_for_1h_label,1h label is not mature yet,collect a fresh STRK microstructure snapshot before any paper probe
XMR,aligned_pressure_watch,-1,1000.00,0.00000000,0.00000000,5.35508970,6807.18756500,0.14690355,5.00000000,16.82412517,-16.82412517,-16.82412517,wait_for_1h_label,1h label is not mature yet,collect a fresh XMR microstructure snapshot before any paper probe
POL,aligned_pressure_watch,1,1000.00,0.00000000,0.00000000,4.57549882,4244.63009500,0.23559179,5.00000000,16.93141672,-16.93141672,-16.93141672,wait_for_1h_label,1h label is not mature yet,collect a fresh POL microstructure snapshot before any paper probe
STX,aligned_pressure_watch,-1,1000.00,0.00000000,0.00000000,4.21185638,3649.84905200,0.27398393,5.00000000,16.95169572,-16.95169572,-16.95169572,wait_for_1h_label,1h label is not mature yet,collect a fresh STX microstructure snapshot before any paper probe
ADA,aligned_pressure_watch,-1,100.00,0.00000000,0.00000000,7.10984714,56421.63498000,0.00177237,5.00000000,17.12757084,-17.12757084,-17.12757084,wait_for_1h_label,1h label is not mature yet,collect a fresh ADA microstructure snapshot before any paper probe
ADA,aligned_pressure_watch,-1,250.00,0.00000000,0.00000000,7.10984714,56421.63498000,0.00443092,5.00000000,17.15415638,-17.15415638,-17.15415638,wait_for_1h_label,1h label is not mature yet,collect a fresh ADA microstructure snapshot before any paper probe
ADA,aligned_pressure_watch,-1,500.00,0.00000000,0.00000000,7.10984714,56421.63498000,0.00886185,5.00000000,17.19846563,-17.19846563,-17.19846563,wait_for_1h_label,1h label is not mature yet,collect a fresh ADA microstructure snapshot before any paper probe
ADA,aligned_pressure_watch,-1,1000.00,0.00000000,0.00000000,7.10984714,56421.63498000,0.01772370,5.00000000,17.28708412,-17.28708412,-17.28708412,wait_for_1h_label,1h label is not mature yet,collect a fresh ADA microstructure snapshot before any paper probe
MON,book_trade_divergence_watch,-1,1000.00,0.00000000,0.00000000,4.48309872,3331.64646600,0.30015189,5.00000000,17.48461767,-17.48461767,-17.48461767,wait_for_1h_label,1h label is not mature yet,collect a fresh MON microstructure snapshot before any paper probe
BERA,wide_spread_watch,1,100.00,0.00000000,0.00000000,8.68694880,2374.96852650,0.04210582,5.00000000,19.10800701,-19.10800701,-19.10800701,wait_for_1h_label,1h label is not mature yet,collect a fresh BERA microstructure snapshot before any paper probe
BERA,wide_spread_watch,1,250.00,0.00000000,0.00000000,8.68694880,2374.96852650,0.10526455,5.00000000,19.73959433,-19.73959433,-19.73959433,wait_for_1h_label,1h label is not mature yet,collect a fresh BERA microstructure snapshot before any paper probe
OP,wide_spread_watch,-1,100.00,0.00000000,0.00000000,8.11770675,466.23019500,0.21448632,5.00000000,20.26256998,-20.26256998,-20.26256998,wait_for_1h_label,1h label is not mature yet,collect a fresh OP microstructure snapshot before any paper probe
BERA,wide_spread_watch,1,500.00,0.00000000,0.00000000,8.68694880,2374.96852650,0.21052911,5.00000000,20.79223986,-20.79223986,-20.79223986,wait_for_1h_label,1h label is not mature yet,collect a fresh BERA microstructure snapshot before any paper probe
BERA,wide_spread_watch,1,1000.00,0.00000000,0.00000000,8.68694880,2374.96852650,0.42105821,5.00000000,22.89753091,-22.89753091,-22.89753091,wait_for_1h_label,1h label is not mature yet,collect a fresh BERA microstructure snapshot before any paper probe
OP,wide_spread_watch,-1,250.00,0.00000000,0.00000000,8.11770675,466.23019500,0.53621581,5.00000000,23.47986481,-23.47986481,-23.47986481,wait_for_1h_label,1h label is not mature yet,collect a fresh OP microstructure snapshot before any paper probe
OP,wide_spread_watch,-1,500.00,0.00000000,0.00000000,8.11770675,466.23019500,1.07243161,5.00000000,28.11770675,-28.11770675,-28.11770675,wait_for_1h_label,1h label is not mature yet,collect a fresh OP microstructure snapshot before any paper probe
OP,wide_spread_watch,-1,1000.00,0.00000000,0.00000000,8.11770675,466.23019500,2.14486323,5.00000000,28.11770675,-28.11770675,-28.11770675,wait_for_1h_label,1h label is not mature yet,collect a fresh OP microstructure snapshot before any paper probe
