feature,bucket,signal_action,train_count,train_signal_bps,test_count,execution_action,fill_assumption,cost_bps,gross_reward_bps,net_reward_bps,hit_rate,beats_hold,decision,next_step
account_long_short_ratio_5m,bottom_20,paper_long,16185,0.10065307,17508,hold,no_order,0.00000000,-0.17013380,0.00000000,0.466187,no,hold_baseline,hold is the baseline action
premium_index_1m,bottom_20,paper_short,16183,0.32378387,28560,hold,no_order,0.00000000,-0.00554653,0.00000000,0.465406,no,hold_baseline,hold is the baseline action
open_interest_value_5m,bottom_20,paper_short,16184,0.08306166,24662,hold,no_order,0.00000000,0.09872878,0.00000000,0.459330,no,hold_baseline,hold is the baseline action
imbalance_1pct,top_20,paper_short,16182,0.00403131,11807,hold,no_order,0.00000000,-0.60425198,0.00000000,0.456001,no,hold_baseline,hold is the baseline action
imbalance_5pct,top_20,paper_long,16182,0.10731781,9558,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.47073228,-0.02926772,0.493304,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_5pct,bottom_20,paper_short,16183,0.47762915,26579,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.43621187,-0.06378813,0.492569,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
premium_index_1m,top_20,paper_short,16184,0.21920477,19368,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.37165082,-0.12834918,0.491429,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
open_interest_value_5m,bottom_20,paper_short,16184,0.08306166,24662,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.09872878,-0.40127122,0.459330,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
account_long_short_ratio_5m,top_20,paper_short,16187,0.25869025,8604,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.08075039,-0.41924961,0.470944,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
top_trader_long_short_ratio_5m,top_20,paper_short,16190,0.29163620,8604,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.06896910,-0.43103090,0.477685,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
open_interest_value_5m,top_20,paper_short,16190,0.26448771,17208,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,0.06276972,-0.43723028,0.500581,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
premium_index_1m,bottom_20,paper_short,16183,0.32378387,28560,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.00554653,-0.50554653,0.465406,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
mark_index_basis_1m,top_20,paper_short,16183,0.23014278,16130,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.05625956,-0.55625956,0.492498,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
top_trader_long_short_ratio_5m,bottom_20,paper_short,16187,0.25320980,50366,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.06126150,-0.56126150,0.475718,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
mark_index_basis_1m,bottom_20,paper_long,16183,0.08873804,28480,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.13016961,-0.63016961,0.476826,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
account_long_short_ratio_5m,bottom_20,paper_long,16185,0.10065307,17508,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.17013380,-0.67013380,0.466187,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
taker_long_short_volume_ratio_5m,top_20,paper_short,16182,0.14718937,15984,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.22735455,-0.72735455,0.474975,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_1pct,top_20,paper_short,16182,0.00403131,11807,maker_or_internalized_limit,optimistic_full_fill_not_queue_verified,0.50000000,-0.60425198,-1.10425198,0.456001,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,0.32925620,13218,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.66130790,-1.33869210,0.480557,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_1pct,bottom_20,paper_short,16183,0.27823374,21660,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.59571460,-1.40428540,0.502401,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_5pct,top_20,paper_long,16182,0.10731781,9558,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.47073228,-1.52926772,0.493304,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_5pct,bottom_20,paper_short,16183,0.47762915,26579,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.43621187,-1.56378813,0.492569,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
premium_index_1m,top_20,paper_short,16184,0.21920477,19368,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.37165082,-1.62834918,0.491429,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
open_interest_value_5m,bottom_20,paper_short,16184,0.08306166,24662,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.09872878,-1.90127122,0.459330,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
account_long_short_ratio_5m,top_20,paper_short,16187,0.25869025,8604,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.08075039,-1.91924961,0.470944,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
top_trader_long_short_ratio_5m,top_20,paper_short,16190,0.29163620,8604,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.06896910,-1.93103090,0.477685,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
open_interest_value_5m,top_20,paper_short,16190,0.26448771,17208,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,0.06276972,-1.93723028,0.500581,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
premium_index_1m,bottom_20,paper_short,16183,0.32378387,28560,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.00554653,-2.00554653,0.465406,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
mark_index_basis_1m,top_20,paper_short,16183,0.23014278,16130,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.05625956,-2.05625956,0.492498,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
top_trader_long_short_ratio_5m,bottom_20,paper_short,16187,0.25320980,50366,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.06126150,-2.06126150,0.475718,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
mark_index_basis_1m,bottom_20,paper_long,16183,0.08873804,28480,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.13016961,-2.13016961,0.476826,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
account_long_short_ratio_5m,bottom_20,paper_long,16185,0.10065307,17508,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.17013380,-2.17013380,0.466187,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
taker_long_short_volume_ratio_5m,top_20,paper_short,16182,0.14718937,15984,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.22735455,-2.22735455,0.474975,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_1pct,top_20,paper_short,16182,0.00403131,11807,low_fee_cross,full_fill_low_fee_or_internalized,2.00000000,-0.60425198,-2.60425198,0.456001,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,0.32925620,13218,market_order,full_fill,8.00000000,0.66130790,-7.33869210,0.480557,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_1pct,bottom_20,paper_short,16183,0.27823374,21660,market_order,full_fill,8.00000000,0.59571460,-7.40428540,0.502401,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_5pct,top_20,paper_long,16182,0.10731781,9558,market_order,full_fill,8.00000000,0.47073228,-7.52926772,0.493304,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_5pct,bottom_20,paper_short,16183,0.47762915,26579,market_order,full_fill,8.00000000,0.43621187,-7.56378813,0.492569,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
premium_index_1m,top_20,paper_short,16184,0.21920477,19368,market_order,full_fill,8.00000000,0.37165082,-7.62834918,0.491429,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
open_interest_value_5m,bottom_20,paper_short,16184,0.08306166,24662,market_order,full_fill,8.00000000,0.09872878,-7.90127122,0.459330,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
account_long_short_ratio_5m,top_20,paper_short,16187,0.25869025,8604,market_order,full_fill,8.00000000,0.08075039,-7.91924961,0.470944,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
top_trader_long_short_ratio_5m,top_20,paper_short,16190,0.29163620,8604,market_order,full_fill,8.00000000,0.06896910,-7.93103090,0.477685,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
open_interest_value_5m,top_20,paper_short,16190,0.26448771,17208,market_order,full_fill,8.00000000,0.06276972,-7.93723028,0.500581,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
premium_index_1m,bottom_20,paper_short,16183,0.32378387,28560,market_order,full_fill,8.00000000,-0.00554653,-8.00554653,0.465406,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
mark_index_basis_1m,top_20,paper_short,16183,0.23014278,16130,market_order,full_fill,8.00000000,-0.05625956,-8.05625956,0.492498,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
top_trader_long_short_ratio_5m,bottom_20,paper_short,16187,0.25320980,50366,market_order,full_fill,8.00000000,-0.06126150,-8.06126150,0.475718,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
mark_index_basis_1m,bottom_20,paper_long,16183,0.08873804,28480,market_order,full_fill,8.00000000,-0.13016961,-8.13016961,0.476826,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
account_long_short_ratio_5m,bottom_20,paper_long,16185,0.10065307,17508,market_order,full_fill,8.00000000,-0.17013380,-8.17013380,0.466187,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
taker_long_short_volume_ratio_5m,top_20,paper_short,16182,0.14718937,15984,market_order,full_fill,8.00000000,-0.22735455,-8.22735455,0.474975,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
imbalance_1pct,top_20,paper_short,16182,0.00403131,11807,market_order,full_fill,8.00000000,-0.60425198,-8.60425198,0.456001,no,worse_than_hold,do not act under this execution action; hold beats the replay reward
