feature,bucket,action,train_count,test_count,train_mean_bps,test_gross_bps,test_hit_rate,execution_mode,cost_bps,test_net_bps,viability_score,viability_status,next_step
imbalance_1pct,bottom_20,paper_short,16183,21660,0.27823374,0.59571460,0.502401,maker_or_internalized,0.50000000,0.09571460,300.09571460,maker_or_internalized_candidate,"test maker fill probability, queue position, adverse selection, and cancellation rules"
account_long_short_ratio_5m,top_20,paper_short,16187,8604,0.25869025,0.08075039,0.470944,maker_or_internalized,0.50000000,-0.41924961,-0.41924961,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
top_trader_long_short_ratio_5m,top_20,paper_short,16190,8604,0.29163620,0.06896910,0.477685,maker_or_internalized,0.50000000,-0.43103090,-0.43103090,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
open_interest_value_5m,top_20,paper_short,16190,17208,0.26448771,0.06276972,0.500581,maker_or_internalized,0.50000000,-0.43723028,-0.43723028,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,13218,0.32925620,0.66130790,0.480557,low_fee_round_trip,2.00000000,-1.33869210,-1.33869210,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_1pct,bottom_20,paper_short,16183,21660,0.27823374,0.59571460,0.502401,low_fee_round_trip,2.00000000,-1.40428540,-1.40428540,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_5pct,top_20,paper_long,16182,9558,0.10731781,0.47073228,0.493304,low_fee_round_trip,2.00000000,-1.52926772,-1.52926772,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_5pct,bottom_20,paper_short,16183,26579,0.47762915,0.43621187,0.492569,low_fee_round_trip,2.00000000,-1.56378813,-1.56378813,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
premium_index_1m,top_20,paper_short,16184,19368,0.21920477,0.37165082,0.491429,low_fee_round_trip,2.00000000,-1.62834918,-1.62834918,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
open_interest_value_5m,bottom_20,paper_short,16184,24662,0.08306166,0.09872878,0.459330,low_fee_round_trip,2.00000000,-1.90127122,-1.90127122,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
account_long_short_ratio_5m,top_20,paper_short,16187,8604,0.25869025,0.08075039,0.470944,low_fee_round_trip,2.00000000,-1.91924961,-1.91924961,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
top_trader_long_short_ratio_5m,top_20,paper_short,16190,8604,0.29163620,0.06896910,0.477685,low_fee_round_trip,2.00000000,-1.93103090,-1.93103090,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
open_interest_value_5m,top_20,paper_short,16190,17208,0.26448771,0.06276972,0.500581,low_fee_round_trip,2.00000000,-1.93723028,-1.93723028,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
taker_long_short_volume_ratio_5m,bottom_20,paper_short,16191,13218,0.32925620,0.66130790,0.480557,taker_round_trip,8.00000000,-7.33869210,-7.33869210,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_1pct,bottom_20,paper_short,16183,21660,0.27823374,0.59571460,0.502401,taker_round_trip,8.00000000,-7.40428540,-7.40428540,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_5pct,top_20,paper_long,16182,9558,0.10731781,0.47073228,0.493304,taker_round_trip,8.00000000,-7.52926772,-7.52926772,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
imbalance_5pct,bottom_20,paper_short,16183,26579,0.47762915,0.43621187,0.492569,taker_round_trip,8.00000000,-7.56378813,-7.56378813,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
premium_index_1m,top_20,paper_short,16184,19368,0.21920477,0.37165082,0.491429,taker_round_trip,8.00000000,-7.62834918,-7.62834918,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
open_interest_value_5m,bottom_20,paper_short,16184,24662,0.08306166,0.09872878,0.459330,taker_round_trip,8.00000000,-7.90127122,-7.90127122,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
account_long_short_ratio_5m,top_20,paper_short,16187,8604,0.25869025,0.08075039,0.470944,taker_round_trip,8.00000000,-7.91924961,-7.91924961,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
top_trader_long_short_ratio_5m,top_20,paper_short,16190,8604,0.29163620,0.06896910,0.477685,taker_round_trip,8.00000000,-7.93103090,-7.93103090,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
open_interest_value_5m,top_20,paper_short,16190,17208,0.26448771,0.06276972,0.500581,taker_round_trip,8.00000000,-7.93723028,-7.93723028,not_viable_after_cost,reject for current execution mode; only revisit if execution cost or horizon changes
