feature,bucket,signal_action,train_count,train_signal_bps,test_count,execution_mode,cost_bps,test_gross_bps,test_net_bps,test_hit_rate,decision,next_step
imbalance_5pct_delta_5,top_20,paper_short,16152,0.28471863,21691,maker_or_internalized_limit,0.50000000,-0.47171875,-0.97171875,0.462081,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,top_20,paper_short,16152,0.16149593,18115,maker_or_internalized_limit,0.50000000,-0.53315188,-1.03315188,0.451615,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,bottom_20,paper_long,16153,0.03878172,19841,zero_cost_representation,0.00000000,-1.04135172,-1.04135172,0.462275,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,bottom_20,paper_long,16153,0.06364048,21902,maker_or_internalized_limit,0.50000000,-0.60631311,-1.10631311,0.458132,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,bottom_20,paper_long,16153,0.09534187,21203,maker_or_internalized_limit,0.50000000,-0.62467075,-1.12467075,0.455549,reject_after_cost,reject this rolling state under the current execution cost
basis_delta_5,bottom_20,paper_long,16153,0.01868873,22031,maker_or_internalized_limit,0.50000000,-0.69754711,-1.19754711,0.465254,reject_after_cost,reject this rolling state under the current execution cost
ask_liquidity_change_5,top_20,paper_short,16152,0.12099511,21341,low_fee_cross,2.00000000,0.54745233,-1.45254767,0.494869,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,bottom_20,paper_long,16153,0.03878172,19841,maker_or_internalized_limit,0.50000000,-1.04135172,-1.54135172,0.462275,reject_after_cost,reject this rolling state under the current execution cost
basis_delta_5,top_20,paper_long,16152,0.04067620,22031,low_fee_cross,2.00000000,0.41586685,-1.58413315,0.473651,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,bottom_20,paper_short,16153,0.11227254,19180,low_fee_cross,2.00000000,0.40137119,-1.59862881,0.498436,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_persistence_5,bottom_20,paper_short,16153,0.43625325,24578,low_fee_cross,2.00000000,0.36767950,-1.63232050,0.482261,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,bottom_20,paper_short,16153,0.31279524,20963,low_fee_cross,2.00000000,0.28808829,-1.71191171,0.485951,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,bottom_20,paper_short,16153,0.57739569,15920,low_fee_cross,2.00000000,0.28610603,-1.71389397,0.477952,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,bottom_20,paper_short,16153,0.28836645,23253,low_fee_cross,2.00000000,0.26266191,-1.73733809,0.475853,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_persistence_5,top_20,paper_long,16152,0.06950609,10018,low_fee_cross,2.00000000,0.24395945,-1.75604055,0.488022,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,top_20,paper_short,16152,0.02252344,12138,low_fee_cross,2.00000000,-0.11476374,-2.11476374,0.476520,reject_after_cost,reject this rolling state under the current execution cost
ask_liquidity_change_5,bottom_20,paper_short,16153,0.35089814,21107,low_fee_cross,2.00000000,-0.16883193,-2.16883193,0.464538,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,top_20,paper_short,16152,0.09804191,23395,low_fee_cross,2.00000000,-0.18871573,-2.18871573,0.476982,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,top_20,paper_short,16152,0.30886137,21700,low_fee_cross,2.00000000,-0.25055565,-2.25055565,0.463088,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,top_20,paper_short,16152,0.04650042,15952,low_fee_cross,2.00000000,-0.28345444,-2.28345444,0.470411,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,top_20,paper_short,16152,0.02693240,21145,low_fee_cross,2.00000000,-0.31933426,-2.31933426,0.463561,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,bottom_20,paper_long,16153,0.14706040,21099,low_fee_cross,2.00000000,-0.36230458,-2.36230458,0.465899,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,top_20,paper_short,16152,0.18503408,20224,low_fee_cross,2.00000000,-0.42133364,-2.42133364,0.482595,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,top_20,paper_short,16152,0.28471863,21691,low_fee_cross,2.00000000,-0.47171875,-2.47171875,0.462081,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,top_20,paper_short,16152,0.16149593,18115,low_fee_cross,2.00000000,-0.53315188,-2.53315188,0.451615,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,bottom_20,paper_long,16153,0.06364048,21902,low_fee_cross,2.00000000,-0.60631311,-2.60631311,0.458132,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,bottom_20,paper_long,16153,0.09534187,21203,low_fee_cross,2.00000000,-0.62467075,-2.62467075,0.455549,reject_after_cost,reject this rolling state under the current execution cost
basis_delta_5,bottom_20,paper_long,16153,0.01868873,22031,low_fee_cross,2.00000000,-0.69754711,-2.69754711,0.465254,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,bottom_20,paper_long,16153,0.03878172,19841,low_fee_cross,2.00000000,-1.04135172,-3.04135172,0.462275,reject_after_cost,reject this rolling state under the current execution cost
ask_liquidity_change_5,top_20,paper_short,16152,0.12099511,21341,market_order,8.00000000,0.54745233,-7.45254767,0.494869,reject_after_cost,reject this rolling state under the current execution cost
basis_delta_5,top_20,paper_long,16152,0.04067620,22031,market_order,8.00000000,0.41586685,-7.58413315,0.473651,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,bottom_20,paper_short,16153,0.11227254,19180,market_order,8.00000000,0.40137119,-7.59862881,0.498436,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_persistence_5,bottom_20,paper_short,16153,0.43625325,24578,market_order,8.00000000,0.36767950,-7.63232050,0.482261,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,bottom_20,paper_short,16153,0.31279524,20963,market_order,8.00000000,0.28808829,-7.71191171,0.485951,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,bottom_20,paper_short,16153,0.57739569,15920,market_order,8.00000000,0.28610603,-7.71389397,0.477952,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,bottom_20,paper_short,16153,0.28836645,23253,market_order,8.00000000,0.26266191,-7.73733809,0.475853,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_persistence_5,top_20,paper_long,16152,0.06950609,10018,market_order,8.00000000,0.24395945,-7.75604055,0.488022,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_persistence_5,top_20,paper_short,16152,0.02252344,12138,market_order,8.00000000,-0.11476374,-8.11476374,0.476520,reject_after_cost,reject this rolling state under the current execution cost
ask_liquidity_change_5,bottom_20,paper_short,16153,0.35089814,21107,market_order,8.00000000,-0.16883193,-8.16883193,0.464538,reject_after_cost,reject this rolling state under the current execution cost
premium_delta_5,top_20,paper_short,16152,0.09804191,23395,market_order,8.00000000,-0.18871573,-8.18871573,0.476982,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,top_20,paper_short,16152,0.30886137,21700,market_order,8.00000000,-0.25055565,-8.25055565,0.463088,reject_after_cost,reject this rolling state under the current execution cost
taker_pressure_delta_5,top_20,paper_short,16152,0.04650042,15952,market_order,8.00000000,-0.28345444,-8.28345444,0.470411,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,top_20,paper_short,16152,0.02693240,21145,market_order,8.00000000,-0.31933426,-8.31933426,0.463561,reject_after_cost,reject this rolling state under the current execution cost
bid_liquidity_change_5,bottom_20,paper_long,16153,0.14706040,21099,market_order,8.00000000,-0.36230458,-8.36230458,0.465899,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,top_20,paper_short,16152,0.18503408,20224,market_order,8.00000000,-0.42133364,-8.42133364,0.482595,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,top_20,paper_short,16152,0.28471863,21691,market_order,8.00000000,-0.47171875,-8.47171875,0.462081,reject_after_cost,reject this rolling state under the current execution cost
shallow_deep_imbalance_gap,top_20,paper_short,16152,0.16149593,18115,market_order,8.00000000,-0.53315188,-8.53315188,0.451615,reject_after_cost,reject this rolling state under the current execution cost
imbalance_1pct_delta_5,bottom_20,paper_long,16153,0.06364048,21902,market_order,8.00000000,-0.60631311,-8.60631311,0.458132,reject_after_cost,reject this rolling state under the current execution cost
imbalance_5pct_delta_5,bottom_20,paper_long,16153,0.09534187,21203,market_order,8.00000000,-0.62467075,-8.62467075,0.455549,reject_after_cost,reject this rolling state under the current execution cost
basis_delta_5,bottom_20,paper_long,16153,0.01868873,22031,market_order,8.00000000,-0.69754711,-8.69754711,0.465254,reject_after_cost,reject this rolling state under the current execution cost
oi_value_change_15,bottom_20,paper_long,16153,0.03878172,19841,market_order,8.00000000,-1.04135172,-9.04135172,0.462275,reject_after_cost,reject this rolling state under the current execution cost
