state_family,signal_action,execution_mode,survival_status,survival_score,world_feature,world_bucket,world_net_bps,world_hit_rate,world_decision,sequence_feature,sequence_bucket,sequence_net_bps,sequence_hit_rate,sequence_decision,sequence_zero_cost_feature,sequence_zero_cost_net_bps,reason,next_step
basis_premium,paper_long,low_fee_cross,lob_policy_rejected_after_cost,-45.00959780,mark_index_basis_1m,bottom_20,-2.13016961,0.476826,worse_than_hold,basis_delta_5,top_20,-1.58413315,0.473651,reject_after_cost,basis_delta_5,0.41586685,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
basis_premium,paper_long,maker_or_internalized_limit,lob_policy_rejected_after_cost,-45.00959780,mark_index_basis_1m,bottom_20,-0.63016961,0.476826,worse_than_hold,basis_delta_5,top_20,-0.08413315,0.473651,reject_after_cost,basis_delta_5,0.41586685,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
basis_premium,paper_long,market_order,lob_policy_rejected_after_cost,-45.00959780,mark_index_basis_1m,bottom_20,-8.13016961,0.476826,worse_than_hold,basis_delta_5,top_20,-7.58413315,0.473651,reject_after_cost,basis_delta_5,0.41586685,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
taker_pressure,paper_short,low_fee_cross,lob_policy_rejected_after_cost,-46.56672764,taker_long_short_volume_ratio_5m,bottom_20,-1.33869210,0.480557,worse_than_hold,taker_pressure_delta_5,bottom_20,-1.71389397,0.477952,reject_after_cost,taker_pressure_delta_5,0.28610603,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
taker_pressure,paper_short,market_order,lob_policy_rejected_after_cost,-46.56672764,taker_long_short_volume_ratio_5m,bottom_20,-7.33869210,0.480557,worse_than_hold,taker_pressure_delta_5,bottom_20,-7.71389397,0.477952,reject_after_cost,taker_pressure_delta_5,0.28610603,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
basis_premium,paper_short,low_fee_cross,lob_policy_rejected_after_cost,-46.84805708,premium_index_1m,top_20,-1.62834918,0.491429,worse_than_hold,premium_delta_5,bottom_20,-1.73733809,0.475853,reject_after_cost,premium_delta_5,0.26266191,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
basis_premium,paper_short,maker_or_internalized_limit,lob_policy_rejected_after_cost,-46.84805708,premium_index_1m,top_20,-0.12834918,0.491429,worse_than_hold,premium_delta_5,bottom_20,-0.23733809,0.475853,reject_after_cost,premium_delta_5,0.26266191,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
basis_premium,paper_short,market_order,lob_policy_rejected_after_cost,-46.84805708,premium_index_1m,top_20,-7.62834918,0.491429,worse_than_hold,premium_delta_5,bottom_20,-7.73733809,0.475853,reject_after_cost,premium_delta_5,0.26266191,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
order_book_imbalance,paper_long,low_fee_cross,lob_policy_rejected_after_cost,-47.07248660,imbalance_5pct,top_20,-1.52926772,0.493304,worse_than_hold,imbalance_5pct_persistence_5,top_20,-1.75604055,0.488022,reject_after_cost,imbalance_5pct_persistence_5,0.24395945,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
order_book_imbalance,paper_long,maker_or_internalized_limit,lob_policy_rejected_after_cost,-47.07248660,imbalance_5pct,top_20,-0.02926772,0.493304,worse_than_hold,imbalance_5pct_persistence_5,top_20,-0.25604055,0.488022,reject_after_cost,imbalance_5pct_persistence_5,0.24395945,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
order_book_imbalance,paper_long,market_order,lob_policy_rejected_after_cost,-47.07248660,imbalance_5pct,top_20,-7.52926772,0.493304,worse_than_hold,imbalance_5pct_persistence_5,top_20,-7.75604055,0.488022,reject_after_cost,imbalance_5pct_persistence_5,0.24395945,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
liquidity_change,paper_long,low_fee_cross,lob_policy_rejected_after_cost,-50.00000000,,,0.00000000,0.000000,,bid_liquidity_change_5,bottom_20,-2.36230458,0.465899,reject_after_cost,bid_liquidity_change_5,-0.36230458,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
liquidity_change,paper_long,maker_or_internalized_limit,lob_policy_rejected_after_cost,-50.00000000,,,0.00000000,0.000000,,bid_liquidity_change_5,bottom_20,-0.86230458,0.465899,reject_after_cost,bid_liquidity_change_5,-0.36230458,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
liquidity_change,paper_long,market_order,lob_policy_rejected_after_cost,-50.00000000,,,0.00000000,0.000000,,bid_liquidity_change_5,bottom_20,-8.36230458,0.465899,reject_after_cost,bid_liquidity_change_5,-0.36230458,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
liquidity_change,paper_long,zero_cost_representation,lob_policy_rejected_after_cost,-50.00000000,,,0.00000000,0.000000,,bid_liquidity_change_5,bottom_20,-0.36230458,0.465899,reject_after_cost,bid_liquidity_change_5,-0.36230458,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_long,low_fee_cross,lob_policy_rejected_after_cost,-50.00000000,account_long_short_ratio_5m,bottom_20,-2.17013380,0.466187,worse_than_hold,oi_value_change_15,bottom_20,-3.04135172,0.462275,reject_after_cost,oi_value_change_15,-1.04135172,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_long,maker_or_internalized_limit,lob_policy_rejected_after_cost,-50.00000000,account_long_short_ratio_5m,bottom_20,-0.67013380,0.466187,worse_than_hold,oi_value_change_15,bottom_20,-1.54135172,0.462275,reject_after_cost,oi_value_change_15,-1.04135172,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_long,market_order,lob_policy_rejected_after_cost,-50.00000000,account_long_short_ratio_5m,bottom_20,-8.17013380,0.466187,worse_than_hold,oi_value_change_15,bottom_20,-9.04135172,0.462275,reject_after_cost,oi_value_change_15,-1.04135172,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_long,zero_cost_representation,lob_policy_rejected_after_cost,-50.00000000,,,0.00000000,0.000000,,oi_value_change_15,bottom_20,-1.04135172,0.462275,reject_after_cost,oi_value_change_15,-1.04135172,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_short,low_fee_cross,lob_policy_rejected_after_cost,-50.00000000,open_interest_value_5m,bottom_20,-1.90127122,0.459330,worse_than_hold,oi_value_change_15,top_20,-2.42133364,0.482595,reject_after_cost,oi_value_change_15,-0.42133364,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_short,maker_or_internalized_limit,lob_policy_rejected_after_cost,-50.00000000,open_interest_value_5m,bottom_20,-0.40127122,0.459330,worse_than_hold,oi_value_change_15,top_20,-0.92133364,0.482595,reject_after_cost,oi_value_change_15,-0.42133364,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_short,market_order,lob_policy_rejected_after_cost,-50.00000000,open_interest_value_5m,bottom_20,-7.90127122,0.459330,worse_than_hold,oi_value_change_15,top_20,-8.42133364,0.482595,reject_after_cost,oi_value_change_15,-0.42133364,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
positioning,paper_short,zero_cost_representation,lob_policy_rejected_after_cost,-50.00000000,,,0.00000000,0.000000,,oi_value_change_15,top_20,-0.42133364,0.482595,reject_after_cost,oi_value_change_15,-0.42133364,state/action does not survive the current execution-cost check,do not promote this state/action under current costs
