timestamp,chain,token_symbol,current_tvl_usd,day_change_usd,week_change_usd,month_change_usd,day_change_pct,week_change_pct,month_change_pct,action,followup
2026-06-08T09:52:37.576082+00:00,MegaETH,MEGA,120388313.00,1246999.00,-29423703.00,-87037784.00,0.01046655,-0.19640416,-0.41960865,chain_flow_reversal_watch,separate MEGA reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Flare,FLR,121089919.00,4344950.00,-26959819.00,-39870910.00,0.03721745,-0.18209974,-0.24770567,chain_flow_reversal_watch,separate FLR reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Hydration,HDX,55119695.00,710336.00,-12091655.00,-21106630.00,0.01305540,-0.17990496,-0.27689424,chain_flow_reversal_watch,separate HDX reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Berachain,BERA,55524581.00,424145.00,-11264434.00,-16970406.00,0.00769767,-0.16865699,-0.23409075,chain_flow_reversal_watch,separate BERA reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Stacks,STX,98358132.00,2668377.00,-17946505.00,-25496405.00,0.02788571,-0.15430601,-0.20585766,chain_flow_reversal_watch,separate STX reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Arbitrum,ARB,1272942248.00,44473133.00,-215561926.00,-295023368.00,0.03620208,-0.14481782,-0.18815678,chain_flow_reversal_watch,separate ARB reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Sui,SUI,446619392.00,7017592.00,-74846471.00,-129139922.00,0.01596352,-0.14353091,-0.22429498,chain_flow_reversal_watch,separate SUI reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Bitcoin,BTC,4158555066.00,143495130.00,-667791598.00,-1112526991.00,0.03573922,-0.13836379,-0.21106235,chain_flow_reversal_watch,separate BTC reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Movement,MOVE,127952617.00,5590030.00,-20144321.00,-42293262.00,0.04568414,-0.13602118,-0.24842459,chain_flow_reversal_watch,separate MOVE reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Rootstock,RBTC,94151445.00,1827736.00,-14056826.00,-24483383.00,0.01979704,-0.12990528,-0.20637601,chain_flow_reversal_watch,separate RBTC reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Mixin,XIN,18637456.00,517683.00,-2449397.00,-5183818.00,0.02857006,-0.11615754,-0.21761296,chain_flow_reversal_watch,separate XIN reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Sei,SEI,57623394.00,1176136.00,-7433643.00,-8341855.00,0.02083602,-0.11426347,-0.12645833,chain_flow_reversal_watch,separate SEI reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Aptos,APT,194015836.00,4047707.00,-23903855.00,-69416071.00,0.02130730,-0.10969112,-0.26350669,chain_flow_reversal_watch,separate APT reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Ethereum,ETH,37577633973.00,1398453184.00,-4278585310.00,-7809706304.00,0.03865353,-0.10222102,-0.17206794,chain_flow_reversal_watch,separate ETH reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,BSC,BNB,5176747653.00,115777871.00,-566078953.00,-430005084.00,0.02287662,-0.09857149,-0.07669414,chain_flow_reversal_watch,separate BNB reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Base,,3967897498.00,149634726.00,-431419383.00,-566020346.00,0.03918922,-0.09806508,-0.12484133,chain_flow_reversal_watch,use as broad on-chain regime context
2026-06-08T09:52:37.576082+00:00,Tron,TRON,4399703211.00,51094345.00,-468345823.00,-733854455.00,0.01174958,-0.09620812,-0.14295241,chain_flow_reversal_watch,separate TRON reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Solana,SOL,4870171005.00,169118681.00,-511591704.00,-864277348.00,0.03597464,-0.09506025,-0.15071674,chain_flow_reversal_watch,separate SOL reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Monad,MON,355988737.00,5935400.00,-37285053.00,-29925336.00,0.01695570,-0.09480686,-0.07754404,chain_flow_reversal_watch,separate MON reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,OP Mainnet,OP,296212169.00,11875556.00,-30287630.00,-57814577.00,0.04176583,-0.09276462,-0.16330568,chain_flow_reversal_watch,separate OP reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Hyperliquid L1,HYPE,1576425112.00,111295291.00,-160016471.00,40806477.00,0.07596275,-0.09215195,0.02657331,chain_flow_reversal_watch,separate HYPE reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Near,NEAR,152140069.00,15455478.00,-13724646.00,7649628.00,0.11307403,-0.08274603,0.05294210,chain_flow_reversal_watch,separate NEAR reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,TON,TON,69703575.00,540287.00,-5054978.00,-22664359.00,0.00781176,-0.06761739,-0.24537042,chain_flow_reversal_watch,separate TON reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Starknet,STRK,186103267.00,1809540.00,-11338052.00,-19274428.00,0.00981878,-0.05742492,-0.09384869,chain_flow_reversal_watch,separate STRK reversal from stale TVL accounting
2026-06-08T09:52:37.576082+00:00,Cronos,CRO,270223389.00,4084830.00,-14056036.00,-28870887.00,0.01534851,-0.04944444,-0.09652771,chain_flow_context,keep as context until flow strengthens
2026-06-08T09:52:37.576082+00:00,Gnosis,GNO,67844538.00,2305620.00,-2722488.00,-14758307.00,0.03517940,-0.03858017,-0.17866584,chain_flow_context,keep as context until flow strengthens
2026-06-08T09:52:37.576082+00:00,dYdX,dYdX,97894888.00,79552.00,995580.00,-2013554.00,0.00081329,0.01027438,-0.02015399,chain_flow_context,keep as context until flow strengthens
2026-06-08T09:52:37.576082+00:00,Plasma,XPL,788733685.00,15012565.00,-6288304.00,213348585.00,0.01940307,-0.00790960,0.37079268,chain_flow_context,keep as context until flow strengthens
