candidate_id,source_lane,ticket_id,asset,opportunity,decision,candidate_size_usd,directional_return_bps,estimated_net_after_cost_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,risk_action,status,priority_score,evidence,missing_work,next_step
symbol_lane_paper:lane-sol-sol-volume-price-dislocation,symbol_lane_paper,lane-sol-sol-volume-price-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,271.49183546,263.21870816,0.14812730,342298.14351500,0.00073036,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,296.79329993,dir_bps=271.4918; net_bps=263.2187; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00073036; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-sol-solana-stablecoin-migration,symbol_lane_paper,lane-sol-solana-stablecoin-migration,SOL,solana_stablecoin_migration,paper_long,100,271.49183546,263.21870816,0.14812730,342298.14351500,0.00029214,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,296.79329993,dir_bps=271.4918; net_bps=263.2187; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00029214; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-sol-sol-attention-price-context,symbol_lane_paper,lane-sol-sol-attention-price-context,SOL,sol_attention_price_context,paper_long,100,271.49183546,263.21870816,0.14812730,342298.14351500,0.00029214,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,296.79329993,dir_bps=271.4918; net_bps=263.2187; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00029214; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
second_promoted_repeat:repeat-repeat-paper-09-sol-volume-dislocation,second_promoted_repeat,repeat-repeat-paper-09-sol-volume-dislocation,SOL,sol_volume_price_dislocation,paper_long,250,193.30967303,185.03654573,0.14812730,342298.14351500,0.00073036,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,274.70202938,dir_bps=193.3097; net_bps=185.0365; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00073036; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-sol-solana-stablecoin-migration,symbol_lane_promoted_repeat,repeat-lane-sol-solana-stablecoin-migration,SOL,solana_stablecoin_migration,paper_long,100,188.23209757,179.95897027,0.14812730,342298.14351500,0.00029214,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,259.37057515,dir_bps=188.2321; net_bps=179.9590; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00029214; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-sol-sol-attention-price-context,symbol_lane_promoted_repeat,repeat-lane-sol-sol-attention-price-context,SOL,sol_attention_price_context,paper_long,100,188.23209757,179.95897027,0.14812730,342298.14351500,0.00029214,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,259.37057515,dir_bps=188.2321; net_bps=179.9590; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00029214; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-20-mon-microstructure-flow,promoted_repeat,repeat-paper-20-mon-microstructure-flow,MON,mon_microstructure_flow_paper_probe,paper_long,100.00,210.97432612,197.92001690,4.92930922,3561.19675200,0.02808045,0.10950000,-0.12500000,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,257.66068821,dir_bps=210.9743; net_bps=197.9200; spread_bps=4.92930922; depth_10bps=3561.19675200; usage=0.02808045; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-zec-zec-attention-price-context,symbol_lane_promoted_repeat,repeat-lane-zec-zec-attention-price-context,ZEC,zec_attention_price_context,paper_long,100,186.61266941,175.29965483,3.60238658,38747.64600000,0.00258080,-0.25348987,0.28937200,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,254.63028830,dir_bps=186.6127; net_bps=175.2997; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=0.00258080; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-zec-zec-institutional-flow-news-event,symbol_lane_promoted_repeat,repeat-lane-zec-zec-institutional-flow-news-event,ZEC,zec_institutional_flow_news_event,paper_long,100,186.61266941,175.29965483,3.60238658,38747.64600000,0.00258080,-0.25348987,0.28937200,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,254.63028830,dir_bps=186.6127; net_bps=175.2997; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=0.00258080; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-zec-zec-narrative-event-news-event,symbol_lane_promoted_repeat,repeat-lane-zec-zec-narrative-event-news-event,ZEC,zec_narrative_event_news_event,paper_long,100,186.61266941,175.29965483,3.60238658,38747.64600000,0.00258080,-0.25348987,0.28937200,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,254.63028830,dir_bps=186.6127; net_bps=175.2997; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=0.00258080; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-eth-eth-volume-price-dislocation,symbol_lane_promoted_repeat,repeat-lane-eth-eth-volume-price-dislocation,ETH,eth_volume_price_dislocation,paper_long,250,176.87972179,168.16563752,0.58908427,11054154.13066500,0.00002262,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,247.00962361,dir_bps=176.8797; net_bps=168.1656; spread_bps=0.58908427; depth_10bps=11054154.13066500; usage=0.00002262; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-eth-eth-microstructure-flow-probe,symbol_lane_promoted_repeat,repeat-lane-eth-eth-microstructure-flow-probe,ETH,eth_microstructure_flow_probe,paper_long,100,176.87972179,168.16563752,0.58908427,11054154.13066500,0.00000905,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,247.00962361,dir_bps=176.8797; net_bps=168.1656; spread_bps=0.58908427; depth_10bps=11054154.13066500; usage=0.00000905; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-46-zec-sector-rotation,promoted_repeat,repeat-paper-46-zec-sector-rotation,ZEC,zec_privacy_sector_rotation_context,paper_long,,186.61266941,175.29965483,3.60238658,38747.64600000,,-0.25348987,0.28937200,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,234.63028830,dir_bps=186.6127; net_bps=175.2997; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-44-zec-attention-event,promoted_repeat,repeat-paper-44-zec-attention-event,ZEC,zec_attention_price_context,paper_long,,186.61266941,175.29965483,3.60238658,38747.64600000,,-0.25348987,0.28937200,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,234.63028830,dir_bps=186.6127; net_bps=175.2997; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
promoted_repeat:repeat-paper-23-zec-wallet-entity-flow,promoted_repeat,repeat-paper-23-zec-wallet-entity-flow,ZEC,public_hypertracker_example_zec_wallet_flow_actionability,paper_long,,186.61266941,175.29965483,3.60238658,38747.64600000,,-0.25348987,0.28937200,cost_adjusted_paper_probe,first_repeat_cost_adjusted_alpha,234.63028830,dir_bps=186.6127; net_bps=175.2997; spread_bps=3.60238658; depth_10bps=38747.64600000; usage=; funding_1h_bps=0.28937200; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-sol-sol-1971905-event-crypto-hedge,symbol_lane_paper,lane-sol-sol-1971905-event-crypto-hedge,SOL,sol_1971905_event_crypto_hedge,paper_long,100,188.23209757,179.95897027,0.14812730,342298.14351500,0.00029214,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,209.37057515,dir_bps=188.2321; net_bps=179.9590; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00029214; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-sol-sol-maker-or-low-fee-small-execution-edge,symbol_lane_paper,lane-sol-sol-maker-or-low-fee-small-execution-edge,SOL,sol_maker_or_low_fee_small_execution_edge,paper_long,250,188.23209757,179.95897027,0.14812730,342298.14351500,0.00073036,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,209.37057515,dir_bps=188.2321; net_bps=179.9590; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00073036; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-sol-sol-taker-small-execution-edge,symbol_lane_paper,lane-sol-sol-taker-small-execution-edge,SOL,sol_taker_small_execution_edge,paper_long,250,188.23209757,179.95897027,0.14812730,342298.14351500,0.00073036,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,209.37057515,dir_bps=188.2321; net_bps=179.9590; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00073036; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-sol-sol-2176262-event-crypto-hedge,symbol_lane_paper,lane-sol-sol-2176262-event-crypto-hedge,SOL,sol_2176262_event_crypto_hedge,paper_long,100,188.23209757,179.95897027,0.14812730,342298.14351500,0.00029214,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,209.37057515,dir_bps=188.2321; net_bps=179.9590; spread_bps=0.14812730; depth_10bps=342298.14351500; usage=0.00029214; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_promoted_repeat:repeat-lane-near-near-microstructure-flow-paper-probe,symbol_lane_promoted_repeat,repeat-lane-near-near-microstructure-flow-paper-probe,NEAR,near_microstructure_flow_paper_probe,paper_long,100.00,142.15367463,131.28192495,2.74674968,16877.98504000,0.00592488,0.10950000,-0.12500000,cost_adjusted_paper_probe,repeat_supported_cost_adjusted_alpha,208.38960868,dir_bps=142.1537; net_bps=131.2819; spread_bps=2.74674968; depth_10bps=16877.98504000; usage=0.00592488; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-eth-eth-volume-price-dislocation,symbol_lane_paper,lane-eth-eth-volume-price-dislocation,ETH,eth_volume_price_dislocation,paper_long,250,186.65226263,177.93817836,0.58908427,11054154.13066500,0.00002262,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,207.27079149,dir_bps=186.6523; net_bps=177.9382; spread_bps=0.58908427; depth_10bps=11054154.13066500; usage=0.00002262; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-eth-eth-microstructure-flow-probe,symbol_lane_paper,lane-eth-eth-microstructure-flow-probe,ETH,eth_microstructure_flow_probe,paper_long,100,186.65226263,177.93817836,0.58908427,11054154.13066500,0.00000905,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,207.27079149,dir_bps=186.6523; net_bps=177.9382; spread_bps=0.58908427; depth_10bps=11054154.13066500; usage=0.00000905; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
symbol_lane_paper:lane-eth-eth-1971905-event-crypto-hedge,symbol_lane_paper,lane-eth-eth-1971905-event-crypto-hedge,ETH,eth_1971905_event_crypto_hedge,paper_long,100,170.17196956,161.45788529,0.58908427,11054154.13066500,0.00000905,0.10950000,-0.12500000,cost_adjusted_paper_probe,cost_adjusted_alpha_candidate,189.96648377,dir_bps=170.1720; net_bps=161.4579; spread_bps=0.58908427; depth_10bps=11054154.13066500; usage=0.00000905; funding_1h_bps=-0.12500000; risk=cost_adjusted_paper_probe,"paper edge is cost-adjusted only; still needs repeat outcome, adverse excursion, and fill notes",repeat the candidate with stop/adverse-excursion and realized fill notes
